Data,Poziom,Zmiana,Opad,Temperatura,Rezerwuar_sniegu,Opad_efektywny,Snow_add_mm,Rain_part_mm,Melt_mm
1977-11-01,"98,43","0,0","48,8","5,0",0.0214371681213378,48.821437168121335,0.0,48.8,0.0214371681213378
1977-12-01,"98,41","-0,02","21,4","0,2",0.0107185840606689,21.410718584060668,0.0,21.4,0.0107185840606689
1978-01-01,"98,44","0,03","20,5","-0,8",0.0075030088424682,20.5032155752182,0.0,20.5,0.0032155752182006
1978-02-01,"98,47","0,03","4,1","-2,8",2.057503008842468,2.05,2.05,2.05,0.0
1978-03-01,"98,48","0,01","22,4","3,1",1.028751504421234,23.428751504421232,0.0,22.4,1.028751504421234
1978-04-01,"98,49","0,01","18,7","5,9",0.514375752210617,19.214375752210618,0.0,18.7,0.514375752210617
1978-05-01,"98,49","0,0","49,5","11,8",0.2571878761053085,49.757187876105306,0.0,49.5,0.2571878761053085
1978-06-01,"98,44","-0,05","49,6","15,4",0.1285939380526542,49.728593938052654,0.0,49.6,0.1285939380526542
1978-07-01,"98,41","-0,03","50,5","16,2",0.0642969690263271,50.56429696902633,0.0,50.5,0.0642969690263271
1978-08-01,"98,38","-0,03","113,5","15,9",0.0321484845131635,113.53214848451316,0.0,113.5,0.0321484845131635
1978-09-01,"98,37","-0,01","82,6","11,1",0.0160742422565817,82.61607424225657,0.0,82.6,0.0160742422565817
1978-10-01,"98,38","0,01","52,0","9,1",0.0080371211282908,52.00803712112829,0.0,52.0,0.0080371211282908
1978-11-01,"98,35","-0,03","21,8","4,9",0.0040185605641454,21.804018560564145,0.0,21.8,0.0040185605641454
1978-12-01,"98,35","0,0","53,8","-3,3",53.80401856056415,0.0,53.8,0.0,0.0
1979-01-01,"98,37","0,02","25,4","-6,0",79.20401856056415,0.0,25.4,0.0,0.0
1979-02-01,"98,39","0,02","19,2","-5,2",98.40401856056415,0.0,19.2,0.0,0.0
1979-03-01,"98,39","0,0","32,1","1,7",63.40401856056416,67.1,0.0,32.1,35.0
1979-04-01,"98,59","0,2","28,7","6,6",31.70200928028208,60.40200928028207,0.0,28.7,31.70200928028208
1979-05-01,"98,51","-0,08","5,9","14,3",15.851004640141038,21.75100464014104,0.0,5.9,15.851004640141038
1979-06-01,"98,41","-0,1","45,7","19,0",7.925502320070519,53.62550232007053,0.0,45.7,7.925502320070519
1979-07-01,"98,3","-0,11","30,2","15,1",3.96275116003526,34.162751160035256,0.0,30.2,3.96275116003526
1979-08-01,"98,26","-0,04","51,4","16,9",1.9813755800176296,53.381375580017625,0.0,51.4,1.9813755800176296
1979-09-01,"98,22","-0,04","66,0","13,4",0.9906877900088148,66.99068779000882,0.0,66.0,0.9906877900088148
1979-10-01,"98,2","-0,02","8,9","6,2",0.4953438950044074,9.395343895004409,0.0,8.9,0.4953438950044074
1979-11-01,"98,18","-0,02","53,7","2,5",0.2476719475022037,53.94767194750221,0.0,53.7,0.2476719475022037
1979-12-01,"98,24","0,06","51,0","2,1",0.1238359737511018,51.1238359737511,0.0,51.0,0.1238359737511018
1980-01-01,"98,3","0,06","20,9","-6,2",21.0238359737511,0.0,20.9,0.0,0.0
1980-02-01,"98,32","0,02","20,1","-1,4",26.048835973751103,15.075,5.025,15.075,0.0
1980-03-01,"98,37","0,05","17,9","-0,2",13.024417986875552,30.92441798687555,0.0,17.9,13.024417986875552
1980-04-01,"98,41","0,04","31,8","5,9",6.512208993437776,38.31220899343778,0.0,31.8,6.512208993437776
1980-05-01,"98,44","0,03","25,9","9,5",3.256104496718888,29.15610449671889,0.0,25.9,3.256104496718888
1980-06-01,"98,45","0,01","138,8","15,1",1.628052248359444,140.42805224835945,0.0,138.8,1.628052248359444
1980-07-01,"98,58","0,13","236,0","16,0",0.814026124179722,236.8140261241797,0.0,236.0,0.814026124179722
1980-08-01,"98,7","0,12","90,2","16,1",0.407013062089861,90.60701306208986,0.0,90.2,0.407013062089861
1980-09-01,"98,61","-0,09","28,5","12,5",0.2035065310449305,28.70350653104493,0.0,28.5,0.2035065310449305
1980-10-01,"98,52","-0,09","28,7","8,4",0.1017532655224652,28.801753265522464,0.0,28.7,0.1017532655224652
1980-11-01,"98,46","-0,06","13,8","2,2",0.0508766327612326,13.850876632761231,0.0,13.8,0.0508766327612326
1980-12-01,"98,42","-0,04","19,4","-0,2",0.0254383163806163,19.42543831638061,0.0,19.4,0.0254383163806163
1981-01-01,"98,5","0,08","32,0","-2,4",16.025438316380615,16.0,16.0,16.0,0.0
1981-02-01,"98,54","0,04","16,3","-1,0",20.10043831638061,12.225,4.075,12.225,0.0
1981-03-01,"98,54","0,0","53,4","5,1",10.050219158190307,63.45021915819031,0.0,53.4,10.050219158190307
1981-04-01,"98,56","0,02","17,0","6,4",5.025109579095154,22.025109579095155,0.0,17.0,5.025109579095154
1981-05-01,"98,53","-0,03","36,0","14,3",2.512554789547577,38.51255478954758,0.0,36.0,2.512554789547577
1981-06-01,"98,49","-0,04","94,2","16,8",1.2562773947737884,95.4562773947738,0.0,94.2,1.2562773947737884
1981-07-01,"98,48","-0,01","148,5","17,4",0.6281386973868942,149.1281386973869,0.0,148.5,0.6281386973868942
1981-08-01,"98,56","0,08","50,7","16,7",0.3140693486934471,51.01406934869345,0.0,50.7,0.3140693486934471
1981-09-01,"98,53","-0,03","11,7","13,8",0.1570346743467235,11.857034674346725,0.0,11.7,0.1570346743467235
1981-10-01,"98,5","-0,03","61,3","8,2",0.0785173371733617,61.37851733717336,0.0,61.3,0.0785173371733617
1981-11-01,"98,52","0,02","44,1","3,9",0.0392586685866808,44.139258668586685,0.0,44.1,0.0392586685866808
1981-12-01,"98,57","0,05","39,2","-4,0",39.239258668586686,0.0,39.2,0.0,0.0
1982-01-01,"98,65","0,08","44,1","-3,7",83.3392586685867,0.0,44.1,0.0,0.0
1982-02-01,"98,59","-0,06","9,3","-1,3",85.6642586685867,6.9750000000000005,2.325,6.9750000000000005,0.0
1982-03-01,"98,59","0,0","24,5","4,0",50.6642586685867,59.5,0.0,24.5,35.0
1982-04-01,"98,59","0,0","31,4","5,9",25.33212933429335,56.73212933429335,0.0,31.4,25.33212933429335
1982-05-01,"98,55","-0,04","42,1","13,3",12.666064667146674,54.76606466714668,0.0,42.1,12.666064667146674
1982-06-01,"98,45","-0,1","48,5","16,1",6.333032333573337,54.833032333573335,0.0,48.5,6.333032333573337
1982-07-01,"98,38","-0,07","23,9","19,4",3.1665161667866686,27.066516166786663,0.0,23.9,3.1665161667866686
1982-08-01,"98,26","-0,12","24,8","18,9",1.5832580833933343,26.383258083393336,0.0,24.8,1.5832580833933343
1982-09-01,"98,17","-0,09","2,4","14,7",0.7916290416966671,3.191629041696668,0.0,2.4,0.7916290416966671
1982-10-01,"98,12","-0,05","5,8","9,2",0.3958145208483336,6.195814520848334,0.0,5.8,0.3958145208483336
